symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOG,2021-04-27 00:00:00+00:00,2307.12,2337.45,2304.27,2336.0,1598583,114.4902240616,115.9953423458,114.3487935601,115.9233864766,31971660,0.0,1.0
GOOG,2021-04-28 00:00:00+00:00,2379.91,2452.378,2374.85,2407.145,2986439,118.1024086942,121.6986141613,117.8513075231,119.4539384162,59728780,0.0,1.0
GOOG,2021-04-29 00:00:00+00:00,2429.89,2436.52,2402.28,2410.33,1977677,120.5826530675,120.9116650762,119.2125140689,119.6119932047,39553540,0.0,1.0
GOOG,2021-04-30 00:00:00+00:00,2410.12,2427.14,2402.16,2404.49,1957130,119.6015720099,120.4461850397,119.2065591005,119.3221847385,39142600,0.0,1.0
GOOG,2021-05-03 00:00:00+00:00,2395.17,2419.7,2384.5,2402.72,1689389,118.8596821863,120.0769769938,118.3301862386,119.2343489534,33787780,0.0,1.0
GOOG,2021-05-04 00:00:00+00:00,2354.25,2379.26,2311.7,2369.74,1756015,116.8290379335,118.0701526149,114.7175053587,117.5977251152,35120300,0.0,1.0
GOOG,2021-05-05 00:00:00+00:00,2356.74,2382.2,2351.41,2368.42,1090275,116.9526035295,118.2160493427,116.6881036794,117.5322204619,21805500,0.0,1.0
GOOG,2021-05-06 00:00:00+00:00,2381.35,2382.71,2342.3382,2350.64,1030859,118.173868316,118.2413579588,116.237917987,116.6498926316,20617180,0.0,1.0
GOOG,2021-05-07 00:00:00+00:00,2398.69,2416.41,2390.0,2400.0,1163892,119.0343612618,119.9137116079,118.6031222941,119.0993696678,23277840,0.0,1.0
GOOG,2021-05-10 00:00:00+00:00,2341.66,2378.0,2334.73,2374.89,1300271,116.2042624901,118.0076254458,115.8603630602,117.8532925126,26005420,0.0,1.0
GOOG,2021-05-11 00:00:00+00:00,2308.76,2322.0,2283.0,2291.86,1605548,114.5716086309,115.2286401536,113.2932753965,113.7329505695,32110960,0.0,1.0
GOOG,2021-05-12 00:00:00+00:00,2239.08,2285.37,2230.05,2261.71,1746664,111.1137569315,113.410886024,110.6656455532,112.236764738,34933280,0.0,1.0
